"fichier","texte_a_enregistrer","origine"
"chiffre-4.wav","Quatre","loginVoiceScript NUM_4"
"chiffre-5.wav","Cinq","loginVoiceScript NUM_5"
"chiffre-6.wav","Six","loginVoiceScript NUM_6"
"chiffre-7.wav","Sept","loginVoiceScript NUM_7"
"chiffre-8.wav","Huit","loginVoiceScript NUM_8"
"chiffre-9.wav","Neuf","loginVoiceScript NUM_9"
"vente-01.wav","Appuie sur moi et puis dis-moi ce que tu as vendu au marché.","docx · Invite vente (dialoguesTata.ts)"
"vente-02.wav","Je n'ai pas bien capté. Rapproche le téléphone de ta bouche et puis parle doucement.","docx · Mauvaise écoute (dialoguesTata.ts)"
"vente-03.wav","C'est rentré dans le panier. Tu ajoutes encore ou bien on encaisse l'argent ?","docx · Panier (dialoguesTata.ts)"
"vente-04.wav","D'accord, on laisse tomber ça. Ton panier n'a pas bougé.","docx · Annulation (dialoguesTata.ts)"
"vente-05.wav","Ma voix ne sort pas là. Tape ta vente sur le clavier, je suis avec toi.","docx · Problème voix (dialoguesTata.ts)"
"vente-06.wav","Et puis c'est à combien ?","docx · Demande prix (dialoguesTata.ts)"
"vente-14.wav","Tu n'as pas encore fait de vente aujourd'hui. Y'a pas problème, le marché va s'ouvrir !","docx · Zéro vente (intentionsCaisse.ts)"
"vente-18.wav","L'argent est tombé pile, y'a pas de monnaie.","docx · Rendu exact (POSCaisse.tsx)"
"stk-02.wav","Quel produit vivrier tu veux faire entrer dans le stock ?","docx · Choix ajout stock (GestionStock.tsx)"
"stk-06.wav","Tout ton stock est bien chargé, y'a pas de manque.","docx · État normal stock (GestionStock.tsx)"
"stk-08.wav","Tu n'as pas mis à combien tu as payé ça au gros. On ne pourra pas calculer ton vrai bénéfice.","docx · Manque prix d'achat (GestionStock.tsx)"
"dep-02.wav","Attention, l'argent-là est beaucoup, deh ! Vérifie bien si tu ne t'es pas trompée.","docx · Grosse dépense (DepenseForm.tsx)"
"crd-01.wav","Le numéro de téléphone n'est pas bon. Faut mettre les dix chiffres comme 07XXXXXXXX.","docx · Téléphone crédit faux (CreditModal.tsx)"
"crd-02.wav","L'avance qu'elle t'a donnée dépasse ou bien c'est égal au prix total. Enregistre ça comme vente cash directement.","docx · Acompte excessif (CreditModal.tsx)"
"crd-04.wav","Donne-moi d'abord le nom de la cliente.","docx · Nom client (CreditModal.tsx)"
"wlt-01.wav","Ton argent est caché","docx · Solde masqué/affiché (WalletCard.tsx) — état 1"
"wlt-08.wav","Ton argent est affiché","docx · Solde masqué/affiché (WalletCard.tsx) — état 2"
"wlt-02.wav","Ton argent ne suffit pas pour faire ce retrait.","docx · Manque d'argent (WithdrawWalletModal.tsx)"
"wlt-03.wav","Le montant doit finir par cent francs net (cent, deux-cents, cinq-cents).","docx · Règle coupure (WithdrawWalletModal.tsx)"
"wlt-04.wav","Le transfert est lancé — faut valider avec ton code secret sur ton téléphone.","docx · Confirmation tel (WithdrawWalletModal.tsx)"
"wlt-05.wav","Le retrait est passé net ! Le nouveau point de ton argent est affiché.","docx · Retrait réussi (WithdrawWalletModal.tsx)"
"wlt-06.wav","L'application t'envoie sur Wave pour taper ton code et valider le paiement.","docx · Redirection Wave (RechargeWalletModal.tsx)"
"wlt-07.wav","L'argent est bien rentré ! Ton compte Keiwa est chargé net.","docx · Keiwa rechargé (RechargeWalletModal.tsx)"
"dash-04.wav","Combien tu as trouvé dans ta caisse ce matin pour démarrer le marché ?","docx · Contrôle matin (RoleDashboard.tsx)"
