code_produit,nom_canonique,famille,sous_famille,unites_locales_autorisees,gros,demi_gros,detail,source_de_verite,usage_local
VIV-GOM-004,Poudre de gombo,Légumes fruits,Gombo,"kg, panier, bassine, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-001,Épinard local,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-002,Amarante,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-003,Kplala / corète potagère,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-004,Feuille de manioc,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-005,Feuille de patate douce,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-006,Feuille de taro,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-007,Feuille d'aubergine,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-008,Feuille de baobab,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-009,Dah,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-010,Oseille,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FEU-011,Feuille de bissap,Légumes feuilles,Feuilles locales,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-016,Chou vert,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-017,Chou rouge,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-018,Laitue,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-019,Concombre,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-020,Courgette,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-021,Haricot vert,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-022,Poivron vert,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-023,Poivron rouge,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-024,Poivron jaune,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-025,Céleri,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-026,Persil,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-027,Carotte,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-028,Betterave,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-029,Navet,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-LEG-030,Radis,Légumes,Légumes verts et divers,"kg, caisse, panier, botte, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-COU-001,Courge locale,Légumes,Courges,"kg, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-COU-002,Potiron,Légumes,Courges,"kg, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-COU-003,Citrouille,Légumes,Courges,"kg, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-COU-004,Melon local,Légumes,Courges,"kg, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-001,Orange locale,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-002,Orange importée,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-003,Mandarine,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-004,Clémentine,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-005,Citron vert,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-006,Citron jaune,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-AGR-007,Pamplemousse,Fruits,Agrumes,"kg, caisse, sac, filet, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-001,Mangue Kent,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-002,Mangue Amélie,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-003,Mangue Brooks,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-004,Papaye,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-005,Ananas,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-006,Pastèque,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-007,Melon,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-008,Avocat,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-009,Goyave,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-010,Corossol,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-011,Pomme cannelle,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-012,Fruit de la passion,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRT-013,Carambole,Fruits,Fruits tropicaux,"kg, caisse, panier, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-001,Pomme rouge,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-002,Pomme verte,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-003,Poire,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-004,Raisin rouge,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-005,Raisin blanc,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-006,Kiwi,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-007,Pêche,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-FRI-008,Prune,Fruits,Fruits importés / complémentaires,"kg, caisse, carton, barquette, unité",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PAL-001,Noix de coco fraîche,Palmier et coco,Palmier / coco,"kg, sac, régime, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PAL-002,Noix de coco sèche,Palmier et coco,Palmier / coco,"kg, sac, régime, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PAL-003,Chair de coco,Palmier et coco,Palmier / coco,"kg, sac, régime, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PAL-004,Graine de palme,Palmier et coco,Palmier / coco,"kg, sac, régime, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-PAL-005,Noix de palme,Palmier et coco,Palmier / coco,"kg, sac, régime, unité, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-001,Gingembre frais,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-002,Curcuma frais,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-003,Basilic local,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-004,Menthe,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-005,Persil africain,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CON-006,Céleri feuille,Condiments frais,Aromates,"kg, botte, tas, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-001,Poivre noir,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-002,Poivre blanc,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-003,Clou de girofle,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-004,Cannelle,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-005,Muscade,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-006,Anis,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-007,Laurier,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-008,Akpi / djansang,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-009,Soumbara,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-EPI-010,Graines de selim / kili,Épices et condiments secs,Épices,"kg, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-HUI-001,Huile de palme rouge,Huiles alimentaires,Huiles,"litre, bidon, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-HUI-002,Huile de palme raffinée,Huiles alimentaires,Huiles,"litre, bidon, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-HUI-003,Huile d'arachide,Huiles alimentaires,Huiles,"litre, bidon, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-HUI-004,Huile de soja,Huiles alimentaires,Huiles,"litre, bidon, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-HUI-005,Huile végétale,Huiles alimentaires,Huiles,"litre, bidon, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
