PROVISIONAL_KEY,CLAUDE_ID,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NATIVE_REQUISE,VALIDATOR_1,VALIDATOR_2,FIELD_TEST_STATUS,RISK_NOTE
PROVISIONAL_FRM_INTENT_11,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,Prix d’un seul.,"Un seul, c’est combien ?",,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_12,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Question sur le prix total de l’ensemble présenté.,HIGH,Prix du tout.,"Tout ça, c’est combien ?",,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_13,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Question générale sur le montant à payer ou le total.,HIGH,Combien ?,Ça fait combien ?,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_14,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un produit ou d’une quantité montrée.,HIGH,C’est à combien ?,C’est à combien ?,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_INTENT_15,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),FINANCIAL_PRIORITY_INTENT,Question ouverte sur le produit ou l’article vendu.,LOW,Tu as vendu quoi ?,Tu as vendu quoi ?,,,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_000,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,zéro,zéro,fu,fu,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_001,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,un,un,kelen,kelen | dɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_002,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,deux,deux,fila,fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_003,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trois,trois,saba,saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_004,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre,quatre,naani,naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_005,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinq,cinq,looru,looru | duuru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_006,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,six,six,wɔɔrɔ,wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_007,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,sept,sept,wolonfila,wolonfila | woronfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_008,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,huit,huit,seegi,seegi | seegin,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_009,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,neuf,neuf,kɔnɔtɔ,kɔnɔtɔ | kɔnɔntɔn,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_010,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix,dix,tan ni fu,tan ni fu,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_011,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,onze,onze,tan ni kelen,tan ni kelen,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_012,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,douze,douze,tan ni fila,tan ni fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_013,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,treize,treize,tan ni saba,tan ni saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_014,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatorze,quatorze,tan ni naani,tan ni naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_015,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quinze,quinze,tan ni looru,tan ni looru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_016,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,seize,seize,tan ni wɔɔrɔ,tan ni wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_017,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-sept,dix-sept,tan ni wolonfila,tan ni wolonfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_018,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-huit,dix-huit,tan ni seegi,tan ni seegi,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_019,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-neuf,dix-neuf,tan ni kɔnɔtɔ,tan ni kɔnɔtɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_020,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt,vingt,mugan,mugan,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_021,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt et un,vingt et un,mugan ni kelen,mugan ni kelen,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_022,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-deux,vingt-deux,mugan ni fila,mugan ni fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_023,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-trois,vingt-trois,mugan ni saba,mugan ni saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_024,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-quatre,vingt-quatre,mugan ni naani,mugan ni naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_025,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-cinq,vingt-cinq,mugan ni looru,mugan ni looru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_026,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-six,vingt-six,mugan ni wɔɔrɔ,mugan ni wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_027,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-sept,vingt-sept,mugan ni wolonfila,mugan ni wolonfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_028,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-huit,vingt-huit,mugan ni seegi,mugan ni seegi,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_029,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-neuf,vingt-neuf,mugan ni kɔnɔtɔ,mugan ni kɔnɔtɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_030,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente,trente,bisaba,bisaba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_031,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente et un,trente et un,bisaba ni kelen,bisaba ni kelen,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_032,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-deux,trente-deux,bisaba ni fila,bisaba ni fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_033,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-trois,trente-trois,bisaba ni saba,bisaba ni saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_034,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-quatre,trente-quatre,bisaba ni naani,bisaba ni naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_035,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-cinq,trente-cinq,bisaba ni looru,bisaba ni looru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_036,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-six,trente-six,bisaba ni wɔɔrɔ,bisaba ni wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_037,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-sept,trente-sept,bisaba ni wolonfila,bisaba ni wolonfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_038,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-huit,trente-huit,bisaba ni seegi,bisaba ni seegi,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_039,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-neuf,trente-neuf,bisaba ni kɔnɔtɔ,bisaba ni kɔnɔtɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_040,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante,quarante,binaani,binaani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_041,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante et un,quarante et un,binaani ni kelen,binaani ni kelen,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_042,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-deux,quarante-deux,binaani ni fila,binaani ni fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_043,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-trois,quarante-trois,binaani ni saba,binaani ni saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_044,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-quatre,quarante-quatre,binaani ni naani,binaani ni naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_045,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-cinq,quarante-cinq,binaani ni looru,binaani ni looru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_046,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-six,quarante-six,binaani ni wɔɔrɔ,binaani ni wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_047,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-sept,quarante-sept,binaani ni wolonfila,binaani ni wolonfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_048,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-huit,quarante-huit,binaani ni seegi,binaani ni seegi,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_049,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-neuf,quarante-neuf,binaani ni kɔnɔtɔ,binaani ni kɔnɔtɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_050,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante,cinquante,bilooru,bilooru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_051,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante et un,cinquante et un,bilooru ni kelen,bilooru ni kelen,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_052,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-deux,cinquante-deux,bilooru ni fila,bilooru ni fila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_053,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-trois,cinquante-trois,bilooru ni saba,bilooru ni saba,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_054,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-quatre,cinquante-quatre,bilooru ni naani,bilooru ni naani,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_055,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-cinq,cinquante-cinq,bilooru ni looru,bilooru ni looru,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_056,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-six,cinquante-six,bilooru ni wɔɔrɔ,bilooru ni wɔɔrɔ,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_057,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-sept,cinquante-sept,bilooru ni wolonfila,bilooru ni wolonfila,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_058,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-huit,cinquante-huit,bilooru ni seegi,bilooru ni seegi,DRAFT,true,,,NON_TESTE,
PROVISIONAL_FRM_NUMBER_059,,Dioula,dyu,Dioula véhiculaire de Côte d’Ivoire (koïnè mandingue; non Kong/non Odienné),NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-neuf,cinquante-neuf,bilooru ni kɔnɔtɔ,bilooru ni kɔnɔtɔ,DRAFT,true,,,NON_TESTE,
