PROVISIONAL_KEY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NOTE,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,VALIDATION_NATIVE_REQUISE,RISK_NOTE
PROVISIONAL_FRM_INTENT_11,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,Prix d’un seul.,"Un seul, c’est combien ?",,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_INTENT_12,FINANCIAL_PRIORITY_INTENT,Question sur le prix total de l’ensemble présenté.,HIGH,Prix du tout.,"Tout ça, c’est combien ?",,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_INTENT_13,FINANCIAL_PRIORITY_INTENT,Question générale sur le montant à payer ou le total.,HIGH,Combien ?,Ça fait combien ?,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_INTENT_14,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un produit ou d’une quantité montrée.,HIGH,C’est à combien ?,C’est à combien ?,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_INTENT_15,FINANCIAL_PRIORITY_INTENT,Question ouverte sur le produit ou l’article vendu.,LOW,Tu as vendu quoi ?,Tu as vendu quoi ?,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_000,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,zéro,zéro,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_001,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,un,un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_002,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,deux,deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_003,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trois,trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_004,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre,quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_005,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinq,cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_006,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,six,six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_007,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,sept,sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_008,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,huit,huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_009,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,neuf,neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_010,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix,dix,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_011,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,onze,onze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_012,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,douze,douze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_013,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,treize,treize,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_014,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatorze,quatorze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_015,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quinze,quinze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_016,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,seize,seize,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_017,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-sept,dix-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_018,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-huit,dix-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_019,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-neuf,dix-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_020,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt,vingt,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_021,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt et un,vingt et un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_022,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-deux,vingt-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_023,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-trois,vingt-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_024,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-quatre,vingt-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_025,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-cinq,vingt-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_026,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-six,vingt-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_027,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-sept,vingt-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_028,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-huit,vingt-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_029,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,vingt-neuf,vingt-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_030,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente,trente,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_031,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente et un,trente et un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_032,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-deux,trente-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_033,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-trois,trente-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_034,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-quatre,trente-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_035,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-cinq,trente-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_036,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-six,trente-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_037,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-sept,trente-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
