LOT,ID,TYPE,CRITIQUE_ARGENT,FR_ACTUEL,VARIABLES,VARIABLES_IMPLICITES,FR_STT_VARIANTS,DIOULA,DIOULA_VARIANTES_STT,VALIDE_PAR,STATUT,NOTES_MANUS,NOTES_CLAUDE
1-ARGENT,CLIP_UI_116,TTS_OUTPUT,OUI,Saisis une quantité valide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CLIP_UI_118,TTS_OUTPUT,OUI,Solde insuffisant,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CONTEXTE_001,TTS_OUTPUT,OUI,"Ta journée est déjà ouverte avec {fondRetenu} francs. Pour changer ce montant, touche Modifier le fond.",fondRetenu,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,COOP_001,TTS_OUTPUT,OUI,C'est fait ! La commande est clôturée et payée.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,COOP_006,TTS_OUTPUT,OUI,Trésorerie actuelle : {soldeActuel} francs.,soldeActuel,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,COOP_014,TTS_OUTPUT,OUI,Transaction {sortie} de {montant} francs CFA enregistrée,sortie montant,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CORE_ERR_03,TTS_OUTPUT,OUI,"Dis oui pour valider, ou non pour annuler.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Choix confirmation ambigu. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CREDIT_001,TTS_OUTPUT,OUI,Le montant de l'acompte est invalide,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CREDIT_002,TTS_OUTPUT,OUI,L'acompte ne peut pas être égal ou supérieur au total. Enregistre plutôt une vente.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CREDIT_003,TTS_OUTPUT,OUI,Crédit de {total} francs noté pour {clientNom}. Elle rembourse le {echeanceLong},total clientNom echeanceLong,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,CREDIT_005,TTS_OUTPUT,OUI,L'acompte ne peut pas dépasser le total. Enregistre plutôt une vente.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,DEPENSE_001,TTS_OUTPUT,OUI,"Attention, le montant est élevé. Vérifie bien.",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,DEPENSE_002,TTS_OUTPUT,OUI,Aujourd'hui tu as dépensé {kpiToday} francs.,kpiToday,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_001,TTS_OUTPUT,OUI,{pointsGagnes} points ajoutés. Total {points} points.,pointsGagnes points,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_002,TTS_OUTPUT,OUI,Récompense appliquée : {remise} francs de remise.,remise,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_005,TTS_OUTPUT,OUI,Ta caisse : {FR} francs,FR,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_006,TTS_OUTPUT,OUI,{montant} Francs CFA ajoutés. Total : {newValue} Francs CFA,montant newValue,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_007,TTS_OUTPUT,OUI,Ta journée est ouverte avec {montant} Francs CFA,montant,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_008,TTS_OUTPUT,OUI,Ton fond de caisse est maintenant de {montant} Francs CFA,montant,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_009,TTS_OUTPUT,OUI,"Compte l'argent de ta boîte, puis entre le montant que tu as trouvé.",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_010,TTS_OUTPUT,OUI,Contre-offre acceptée : {prixContreOffre} FCFA/{unite},prixContreOffre unite,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_017,TTS_OUTPUT,OUI,"{productName} : {montant} francs{texteMarge}, le {quand}.",productName montant texteMarge quand,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_018,TTS_OUTPUT,OUI,"Tu as vendu {totalVentes} francs en tout, sur {totalCount} vente{s}.",totalVentes totalCount s,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_020,TTS_OUTPUT,OUI,"Tu as vendu {totalVentes} francs, sur {totalCount} vente{s}.",totalVentes totalCount s,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_021,TTS_OUTPUT,OUI,C'est bien payé ? Touche encore pour confirmer.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_025,TTS_OUTPUT,OUI,"Bravo ! Tu es à 80% de ton objectif. Plus que {FR} FCFA, allez courage !",FR,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_027,TTS_OUTPUT,OUI,Super ! Ton objectif du jour est fixé à {montant} FCFA. Bonne chance ma chère !,montant,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_ENVOI_TOMBE_ACTION,TTS_OUTPUT,OUI,"Ça n'est pas parti, le réseau a coupé. Rien n'a changé. Recommence dans un moment.",,,,,,,A_TRADUIRE,,"Le cas traître : le téléphone se croyait connecté et l'envoi est tombé. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHAND_HORS_LIGNE_ACTION,TTS_OUTPUT,OUI,Tu n'as pas de réseau. Je n'ai rien envoyé. Recommence quand le réseau revient.,,,,,,,A_TRADUIRE,,"Refus AVANT l'envoi : on sait déjà qu'il n'y a pas de réseau. Rien n'est mis en file. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,MARCHE_001,TTS_OUTPUT,OUI,"{productName}, {quantity} kilogrammes à {price} francs CFA le kilo. Vendeur: {sellerName}, score {sellerScore} sur 100",productName quantity price sellerName sellerScore,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,PROD_002,TTS_OUTPUT,OUI,Paiement encaissé ! L'argent est dans ton Keiwa.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,PROD_003,TTS_OUTPUT,OUI,Commande de {acheteurId} acceptée. Le marchand va maintenant payer.,acheteurId,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,PROD_004,TTS_OUTPUT,OUI,Contre-proposition de {nouveauPrix} FCFA envoyée au marchand.,nouveauPrix,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,PROD_023,TTS_OUTPUT,OUI,Tu as gagné {revenuTotal} francs en tout.,revenuTotal,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_BENEFICE_NEGATIF,TTS_OUTPUT,OUI,"Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Tu as dépensé {resultat} {devise} de plus que tes ventes.",ventes depenses resultat,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_BENEFICE_POSITIF,TTS_OUTPUT,OUI,"Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Il te reste {resultat} {devise}.",ventes depenses resultat,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_BENEFICE_VIDE,TTS_OUTPUT,OUI,Pas encore de ventes ni de dépenses aujourd'hui.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_DEPENSES_AUCUNE,TTS_OUTPUT,OUI,Aucune dépense notée aujourd'hui.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_DEPENSES_JOUR,TTS_OUTPUT,OUI,"Aujourd'hui, tu as dépensé {depenses} {devise}.",depenses,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_SOLDE_CAISSE,TTS_OUTPUT,OUI,"Dans ta caisse, il y a {caisse} {devise}.",caisse,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_SOLDE_CALCULE,TTS_OUTPUT,OUI,"Ventes moins dépenses, il te reste {solde} {devise} aujourd'hui.",solde,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_SOLDE_NEGATIF,TTS_OUTPUT,OUI,"Aujourd'hui, tes dépenses dépassent tes ventes de {solde} {devise}.",solde,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_VENTES_AUCUNE,TTS_OUTPUT,OUI,Tu n'as pas encore de vente aujourd'hui. Ça va venir !,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_VENTES_JOUR,TTS_OUTPUT,OUI,"Aujourd'hui, tu as vendu pour {ventes} {devise}.",ventes,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,QUEST_VENTES_JOUR_PLURIEL,TTS_OUTPUT,OUI,"Aujourd'hui, tu as vendu pour {ventes} {devise}, en {nombre} ventes.",ventes nombre,{devise},,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_008,TTS_OUTPUT,OUI,"C'est fait ! {qte} {unite} de {nom} à {prixVente} francs, ajoutés au stock.",qte unite nom prixVente,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_009,TTS_OUTPUT,OUI,{nom} ajouté au stock. Dis-moi son prix quand tu veux.,nom,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_012,TTS_OUTPUT,OUI,La valeur totale est {val} francs,val,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_013,TTS_OUTPUT,OUI,Le prix de vente n'est pas bon. Redis le prix.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_015,TTS_OUTPUT,OUI,Tu n'as pas mis le prix d'achat. On ne pourra pas calculer ton bénéfice.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_024,TTS_OUTPUT,OUI,Prix de vente,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_027,TTS_OUTPUT,OUI,"Prix d'achat, facultatif",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,STOCK_036,TTS_OUTPUT,OUI,La valeur totale de ta production est de {totalValue} francs CFA,totalValue,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,TATA_AJOUT_PANIER,TTS_OUTPUT,OUI,"C'est dans le panier. Tu ajoutes autre chose, ou tu encaisses ?",,,,,,,A_TRADUIRE,,"Dit après tout ajout au panier (voix et repli). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,TATA_AJOUTE_PRODUITS_D_ABORD,TTS_OUTPUT,OUI,Ajoute d'abord des produits au panier.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,TATA_AMBIGUITE,TTS_OUTPUT,OUI,"{montant} {devise}, c'est le prix d'un seul, ou de tous les {quantite} ?",montant quantite,{devise},,,,,A_TRADUIRE,,"Levée d'ambiguïté prix unitaire / total. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
1-ARGENT,TATA_ARTICLE_AJOUTE_CATALOGUE,TTS_OUTPUT,OUI,{produit} ajouté à ton catalogue et au panier,produit,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
