"priorite","id","domaine","argent","variables","francais_actuel","FRANCAIS_IVOIRIEN","PROPOSE_DOCX","SOURCE_DOCX","ALERTE"
"1","TATA_INDIQUE_PRIX","caisse","oui","","Il faut indiquer ton prix","","","",""
"1","TATA_LIGNE_AJOUTEE","caisse","oui","quantite montantLigne totalPanier","{quantite}, {montantLigne} {devise}. Total : {totalPanier} {devise}.","","","",""
"1","TATA_MANQUE","caisse","oui","montant","Il manque {montant} {devise}.","","","",""
"1","TATA_MONNAIE_A_RENDRE","caisse","oui","monnaie","Monnaie à rendre : {monnaie} {devise}","","La monnaie que tu dois lui remettre : c'est {monnaie} {devise}. »4. Stock, Dépenses &amp; Crédit Client","Monnaie (POSCaisse.tsx)","variables renommées montant → monnaie"
"1","TATA_MONTANT_DEVISE","caisse","oui","montant","{montant} {devise}","","","",""
"1","TATA_MONTANT_RECU_INSUFFISANT","caisse","oui","","Montant reçu insuffisant","","","",""
"1","TATA_MONTANT_TOTAL_INVALIDE","caisse","oui","","Montant total invalide","","","",""
"1","TATA_NE_VALIDE_PAS","caisse","oui","","D'accord, je ne valide pas.","","","",""
"1","TATA_PANIER_VIDE","caisse","oui","","Ton panier est vide.","","","",""
"1","TATA_PANIER_VIDE_DIS_VENTE","caisse","oui","","Ton panier est vide. Dis-moi d'abord ce que tu vends.","","","",""
"1","TATA_PART_POUR_MONTANT","vente","oui","montant"," pour {montant} {devise}","","","",""
"1","TATA_PRIX_DU_TOUT","vente","oui","","Prix du tout.","","","",""
"1","TATA_PRIX_D_UN_SEUL","vente","oui","","Prix d'un seul.","","","",""
"1","TATA_PRIX_EFFACE","vente","oui","","Prix effacé.","","","",""
"1","TATA_PRIX_INCOMPRIS","vente","oui","","Je n'ai pas compris le prix. Redis-moi combien tu as vendu.","","","",""
"1","TATA_PRIX_INCONNU_PRODUIT","vente","oui","produit","Je n'ai pas le prix de {produit}. Redis-moi combien tu l'as vendu.","","","",""
"1","TATA_PRIX_MANQUANT","vente","oui","","Et c'est à combien ?","","Et puis c'est à combien ?","Demande prix (dialoguesTata.ts)",""
"1","TATA_PRIX_UNITE_LIGNE","caisse","oui","produit prix","{produit} : {prix} {devise} l'unité","","","",""
"1","TATA_PRODUIT_POSE","vente","oui","produit montant unite","{produit}, {montant} {devise} le {unite}. C'est sur ton étal.","","","",""
"1","TATA_QUANTITE_LIGNE","caisse","oui","produit quantite","{produit} : {quantite}","","","",""
"1","TATA_QUEL_PRIX","caisse","oui","produit","{produit}. Quel est ton prix ?","","","",""
"1","TATA_QUESTION_CORRECTION","vente","oui","","Qu'est-ce qui est faux ? Change la quantité, ou le prix.","","","",""
"1","TATA_RELECTURE_COMPTE_JUSTE","caisse","oui","total recu","Elle doit {total} {devise}. Elle t'a donné {recu}. Compte juste. Je valide ?","","","",""
"1","TATA_RELECTURE_MONNAIE","caisse","oui","total recu monnaie","Elle doit {total} {devise}. Elle t'a donné {recu}. Tu rends {monnaie}. Je valide ?","","","",""
"1","TATA_REPLI_PRIX_CONNU","vente","oui","montant","Le prix est de {montant} {devise}.","","","",""
"1","TATA_RESUME_PRIX_TOTAL","vente","oui","resume total","{resume} pour {total} {symboleDevise}","","","",""
"1","TATA_RESUME_PRIX_UNITAIRE","vente","oui","resume prix","{resume} à {prix} {symboleDevise}","","","",""
"1","TATA_TOTAL","caisse","oui","total","Total : {total} {devise}","","","",""
"1","TATA_TOTAL_VENTE","caisse","oui","total","Tu as vendu {total} {devise}, sur une vente.","","","",""
"1","TATA_TOTAL_VENTES","caisse","oui","total nombre","Tu as vendu {total} {devise}, sur {nombre} ventes.","","","",""
"1","TATA_TOUCHE_LES_BILLETS","caisse","oui","total","Elle doit {total} {devise}. Touche les billets qu'elle te donne.","","","",""
"1","TATA_UNITE_INCOMPATIBLE","vente","oui","uniteParlee produit uniteCatalogue","Tu dis {uniteParlee}, mais {produit} est au prix du {uniteCatalogue}. Dis-moi combien tu l'as vendu.","","","",""
"1","TATA_VENTES_AUCUNE","caisse","oui","","Le serveur a répondu : tu n'as encore rien vendu.","","","",""
"1","TATA_VENTES_EN_ATTENTE_ENVOI","caisse","oui","nombre","Tu as {nombre} ventes gardées sur le téléphone. Elles ne sont pas encore envoyées, elles ne sont pas perdues.","","","",""
"1","TATA_VENTES_LECTURE_EN_COURS","caisse","oui","","Je vais chercher tes ventes…","","","",""
"1","TATA_VENTES_PARTIES","caisse","oui","nombre","{nombre} ventes gardées sur le téléphone sont parties. Le serveur les a reçues.","","","",""
"1","TATA_VENTES_PARTIES_RESTE","caisse","oui","nombre reste","{nombre} ventes gardées sur le téléphone sont parties. Il en reste {reste} à envoyer.","","","",""
"1","TATA_VENTES_PAS_LUES","caisse","oui","","Je n'ai pas pu lire tes ventes. Ce n'est pas zéro : je n'ai pas pu demander au serveur. Ton argent est là, réessaie.","","","",""
"1","TATA_VENTES_REESSAYER","caisse","oui","","Réessayer de lire mes ventes","","","",""
"1","TATA_VENTE_ECHEC","caisse","oui","","La vente n'a pas pu être enregistrée. Réessaie.","","","",""
"1","TATA_VENTE_ENREGISTREE","caisse","oui","total","Vente enregistrée. {total} {devise}","","","",""
"1","TATA_VENTE_ENREGISTREE_RUPTURE","caisse","oui","total avertissement","Vente enregistrée. {total} {devise}. {avertissement}","","","",""
"1","TATA_VENTE_EN_ATTENTE_ENVOI","caisse","oui","","Tu as une vente gardée sur le téléphone. Elle n'est pas encore envoyée, elle n'est pas perdue.","","","",""
"1","TATA_VENTE_GARDEE_TELEPHONE","caisse","oui","total","Vente gardée sur le téléphone. {total} {devise}. Elle n'est pas encore envoyée. Je l'envoie dès que le réseau revient.","","","",""
"1","TATA_VENTE_GARDEE_TELEPHONE_RUPTURE","caisse","oui","total avertissement","Vente gardée sur le téléphone. {total} {devise}. Elle n'est pas encore envoyée. Je l'envoie dès que le réseau revient. {avertissement}","","","",""
"1","TATA_VENTE_PARTIE","caisse","oui","","Ta vente gardée sur le téléphone est partie. Le serveur l'a reçue.","","","",""
"1","TATA_VENTE_PARTIE_RESTE","caisse","oui","reste","Ta vente gardée sur le téléphone est partie. Il en reste {reste} à envoyer.","","","",""
"1","CAISSE_ETAL_GARDE","caisse","","","Derniers produits gardés sur ce téléphone.","","","",""
"1","GUIDAGE_001","guidage","","","J'ai remarqué que tu préfères me parler. Veux-tu que Julaba s'adapte ?","","","",""
"1","GUIDAGE_002","guidage","","","J'ai remarqué que tu préfères le clavier. Veux-tu que Julaba s'adapte ?","","","",""
"1","QUEST_MEILLEURE_VENTE","questions_caisse","","produit","Ce qui marche le mieux aujourd'hui : {produit}.","","","",""
"1","QUEST_MEILLEURE_VENTE_INCONNUE","questions_caisse","","","Je n'ai pas encore assez de ventes pour te dire ça aujourd'hui.","","","",""
"1","QUEST_MEILLEURE_VENTE_QUANTITE","questions_caisse","","produit quantite","Ce qui marche le mieux aujourd'hui : {produit}, {quantite} vendus.","","","",""
"1","STOCK_046","caisse","","","Je n'ai pas entendu de produit. Dis-moi ce que tu vends.","","","",""
"1","TATA_AJOUT_BOUTIQUE_ECHEC","vente","","","Ça n'a pas marché. Tu pourras l'ajouter depuis Mon stock.","","","",""
"1","TATA_ANNULATION_ETAPE","vente","","","D'accord, on oublie ça. Le panier n'a pas bougé.","","D'accord, on laisse tomber ça. Ton panier n'a pas bougé.","Annulation (dialoguesTata.ts)",""
"1","TATA_CE_PRODUIT","vente","","","ce produit","","","",""
"1","TATA_ERREUR_MOTEUR","vente","","","Ma voix ne marche pas ici. Tape ta vente, je t'accompagne.","","Ma voix ne sort pas là. Tape ta vente sur le clavier, je suis avec toi.","Problème voix (dialoguesTata.ts)",""
"1","TATA_ETAL_VIDE","vente","","","Qu'est-ce que tu vends aujourd'hui ? Touche pour ajouter ton premier produit.","","","",""
"1","TATA_INVITE","vente","","","Touche-moi et dis ce que tu as vendu.","","Appuie sur moi et puis dis-moi ce que tu as vendu au marché.","Invite vente (dialoguesTata.ts)",""
"1","TATA_MESURE_DE_PRODUIT","vente","","mesure produit","{mesure} de {produit}","","","",""
"1","TATA_MICRO_INTRO_PRESELECTION","vente","","produit","Appuie sur le micro, et dis ce que tu as vendu de {produit}.","","","",""
"1","TATA_ON_NE_CHANGE_RIEN","vente","","","D'accord, on ne change rien.","","","",""
"1","TATA_PART_QUANTITE","vente","","quantite","{quantite} ","","","",""
"1","TATA_PRODUIT_AJOUTE_BOUTIQUE","vente","","produit","C'est fait. {produit} est dans ta boutique.","","","",""
"1","TATA_PRODUIT_GENERIQUE","vente","","","produit","","","",""
"1","TATA_PRODUIT_INCONNU_AJOUTER","vente","","produit","Je ne connais pas {produit} dans ta boutique. Je l'ajoute ?","","","",""
"1","TATA_QUANTITE_MANQUANTE","vente","","produit","Combien de {produit} ?","","Combien de tas (ou kilos) de {produit} ?","Demande quantité (dialoguesTata.ts)",""
"1","TATA_QUANTITE_PRODUIT","vente","","quantite produit","{quantite} {produit}","","","",""
"1","TATA_QUANTITE_UNITE_PRODUIT","vente","","quantite unite produit","{quantite} {unite} de {produit}","","","",""
"1","TATA_QUE_VENDRE","vente","","","Que veux-tu vendre ?","","","",""
"1","TATA_REPLI_TOUCHE_PHOTO","vente","","","Touche la photo de ce que tu as vendu.","","","",""
"1","TATA_RIEN_COMPRIS","vente","","","Je n'ai pas bien entendu. Rapproche le téléphone et redis lentement.","","Je n'ai pas bien capté. Rapproche le téléphone de ta bouche et puis parle doucement.","Mauvaise écoute (dialoguesTata.ts)",""
"1","TATA_UNITE_CHOISIE","vente","","unite","Le {unite}.","","","",""
"2","DEPENSE_001","depense","oui","","Attention, le montant est élevé. Vérifie bien.","","Attention, l'argent-là est beaucoup, deh ! Vérifie bien si tu ne t'es pas trompée.","Grosse dépense (DepenseForm.tsx)",""
"2","DEPENSE_002","depense","oui","kpiToday","Aujourd'hui tu as dépensé {kpiToday} francs.","","Aujourd'hui là, {kpiToday} {devise} sont sortis de ta poche.","Total dépenses (MarchandDepenses.tsx)","variables renommées montant → kpiToday"
"2","STOCK_008","stock","oui","qte unite nom prixVente","C'est fait ! {qte} {unite} de {nom} à {prixVente} francs, ajoutés au stock.","","C'est calé ! {qte} {unite} de {nom} à {prixVente} {devise} l'unité sont bien enregistrés.","Création avec prix (GestionStock.tsx)","variables renommées quantité,unité,produit,prix → qte,unite,nom,prixVente"
"2","STOCK_009","stock","oui","nom","{nom} ajouté au stock. Dis-moi son prix quand tu veux.","","","",""
"2","STOCK_012","stock","oui","val","La valeur totale est {val} francs","","","",""
"2","STOCK_013","stock","oui","","Le prix de vente n'est pas bon. Redis le prix.","","","",""
"2","STOCK_015","stock","oui","","Tu n'as pas mis le prix d'achat. On ne pourra pas calculer ton bénéfice.","","Tu n'as pas mis à combien tu as payé ça au gros. On ne pourra pas calculer ton vrai bénéfice.","Manque prix d'achat (GestionStock.tsx)",""
"2","STOCK_024","stock","oui","","Prix de vente","","","",""
"2","STOCK_027","stock","oui","","Prix d'achat, facultatif","","","",""
"2","STOCK_036","stock","oui","totalValue","La valeur totale de ta production est de {totalValue} francs CFA","","","",""
"2","TATA_CONFIRME_DEPENSE","depense","oui","montant produit","Dépense de {montant} {devise}{produit}, c'est bien ça ?","","","",""
"2","TATA_DEPENSE_MONTANT_INCOMPRIS","depense","oui","","Je n'ai pas compris combien tu as dépensé. Redis-moi le montant.","","","",""
"2","DEPENSE_003","depense","","","Tu n'as pas encore de dépense aujourd'hui.","","","",""
"2","STOCK_001","stock","","produit","{produit} ajouté au stock commun.","","","",""
"2","STOCK_002","stock","","","Distribution enregistrée avec succès.","","","",""
"2","STOCK_003","stock","","","Je n'ai pas entendu le nom. Réessaie, s'il te plaît.","","","",""
"2","STOCK_004","stock","","","Quel produit veux-tu ajouter ?","","Quel produit vivrier tu veux faire entrer dans le stock ?","Choix ajout stock (GestionStock.tsx)",""
"2","STOCK_005","stock","","nom","Combien de {nom} veux-tu ajouter ?","","Combien de tas, de sacs ou de kilos de {nom} tu ajoutes ?","Quantité stock (GestionStock.tsx)","variables renommées produit → nom"
"2","STOCK_006","stock","","qte unit name newQty","{qte} {unit} de {name} ajoutés. Tu as maintenant {newQty} {unit}.","","{qte} {unit} de {name} sont rentrés. Ça te fait {newQty} {unit} en magasin maintenant.","Succès réappro (GestionStock.tsx)","variables renommées quantité,unité,produit,total,unité → qte,unit,name,newQty,unit"
"2","STOCK_007","stock","","","Ça n'a pas marché. Réessaie, s'il te plaît.","","","",""
"2","STOCK_010","stock","","","Tous tes stocks sont bons","","Tout ton stock est bien chargé, y'a pas de manque.","État normal stock (GestionStock.tsx)",""
"2","STOCK_011","stock","","low join","{low} produits en stock bas : {join}","","Y'a {low} marchandises qui sont presque finies : {join}.","Alerte stock faible (GestionStock.tsx)","variables renommées N,liste des noms → low,join"
"2","STOCK_014","stock","","","La quantité n'est pas bonne.","","","",""
"2","STOCK_016","stock","","quantity unit name","{quantity} {unit} de {name} ajouté au stock","","","",""
"2","STOCK_017","stock","","","C'est mis à jour.","","","",""
"2","STOCK_018","stock","","reappNum unit name newQty","{reappNum} {unit} de {name} ajoutés. Stock à {newQty} {unit}","","","",""
"2","STOCK_019","stock","","name","{name} supprimé","","","",""
"2","STOCK_020","stock","","","Ça n'a pas marché. Le produit n'est pas supprimé.","","","",""
"2","STOCK_021","stock","","name","{name} mis à jour","","","",""
"2","STOCK_022","stock","","","Ça n'a pas été enregistré. Réessaie, s'il te plaît.","","","",""
"2","STOCK_023","stock","","","Nom du produit","","","",""
"2","STOCK_025","stock","","","Plus de détails","","","",""
"2","STOCK_026","stock","","","Moins de détails","","","",""
"2","STOCK_028","stock","","prenoms","Bienvenue {prenoms} dans ta gestion de production. Je peux t'aider à gérer tes récoltes. Que veux-tu faire ?","","","",""
"2","STOCK_029","stock","","","D'accord ! Dis-moi ce que tu veux faire : ajouter une récolte, modifier une quantité, ou consulter ta production","","","",""
"2","STOCK_030","stock","","","D'accord ! Je reste là si tu as besoin","","","",""
"2","STOCK_031","stock","","quantity name","Parfait ! {quantity} kg de {name} ajouté à ta production","","","",""
"2","STOCK_032","stock","","name quantity unit","Production mise à jour ! {name} : {quantity} {unit}","","","",""
"2","STOCK_033","stock","","","D'accord, action annulée","","","",""
"2","STOCK_034","stock","","quantity unit name","Tu as {quantity} {unit} de {name} en stock","","","",""
"2","STOCK_035","stock","","","Je n'ai pas trouvé ce produit dans ta production","","","",""
"2","STOCK_037","stock","","stocks","Tu as {stocks} produits différents en production","","","",""
"2","STOCK_038","stock","","lowStocks join","Tu as {lowStocks} produits en stock bas : {join}","","","",""
"2","STOCK_039","stock","","quantity unit name","Tu veux ajouter {quantity} {unit} de {name} à ta production actuelle de {quantity} {unit}. Je confirme ?","","","",""
"2","STOCK_040","stock","","quantity productName","Tu veux ajouter {quantity} kg de {productName} à ta production. Je confirme ?","","","",""
"2","STOCK_041","stock","","name","Voici {name}","","","",""
"2","STOCK_042","stock","","","Je n'ai pas compris. Demande-moi d'ajouter une récolte, de consulter ta production, ou de filtrer par catégorie","","","",""
"2","STOCK_043","stock","","name","{name} ajouté avec succès","","","",""
"2","STOCK_044","stock","","name","{name} supprimé de la production","","","",""
"2","TATA_PART_POUR_PRODUIT","depense","","produit"," pour {produit}","","","",""
"2","TATA_RUPTURE","stock","","liste","Attention, il manquait {liste}. Pense à réapprovisionner.","","Attention, deh ! {liste} est presque fini chez toi. Pense à recharger ton stock.","Alerte rupture (ruptureStock.ts)",""
"2","TATA_RUPTURE_LIGNE","stock","","manquant produit","{manquant} {produit}","","","",""
"3","CREDIT_001","credit","oui","","Le montant de l'acompte est invalide","","","",""
"3","CREDIT_002","credit","oui","","L'acompte ne peut pas être égal ou supérieur au total. Enregistre plutôt une vente.","","L'avance qu'elle t'a donnée dépasse ou bien c'est égal au prix total. Enregistre ça comme vente cash directement.","Acompte excessif (CreditModal.tsx)",""
"3","CREDIT_003","credit","oui","total clientNom echeanceLong","Crédit de {total} francs noté pour {clientNom}. Elle rembourse le {echeanceLong}","","Crédit de {total} {devise} bien noté dans le cahier pour {clientNom}. Elle doit verser ça le {echeanceLong}.","Crédit client noté (CreditModal.tsx)","variables renommées total,client,date → total,clientNom,echeanceLong"
"3","CREDIT_005","credit","oui","","L'acompte ne peut pas dépasser le total. Enregistre plutôt une vente.","","","",""
"3","MARCHAND_001","marchand_autre","oui","pointsGagnes points","{pointsGagnes} points ajoutés. Total {points} points.","","","",""
"3","MARCHAND_002","marchand_autre","oui","remise","Récompense appliquée : {remise} francs de remise.","","","",""
"3","MARCHAND_005","marchand_autre","oui","FR","Ta caisse : {FR} francs","","","",""
"3","MARCHAND_006","marchand_autre","oui","montant newValue","{montant} Francs CFA ajoutés. Total : {newValue} Francs CFA","","","",""
"3","MARCHAND_007","marchand_autre","oui","montant","Ta journée est ouverte avec {montant} Francs CFA","","Ta journée de marché est ouverte avec {montant} {devise} comme fond de caisse.","Ouverture journée (MarchandModals.tsx)",""
"3","MARCHAND_008","marchand_autre","oui","montant","Ton fond de caisse est maintenant de {montant} Francs CFA","","Ton fond de caisse est monté à {montant} {devise} maintenant. »5. Mobile Money, Keiwa Wallet &amp; Dashboard","Fond de caisse mis à jour (MarchandModals.tsx)",""
"3","MARCHAND_009","marchand_autre","oui","","Compte l'argent de ta boîte, puis entre le montant que tu as trouvé.","","","",""
"3","MARCHAND_010","marchand_autre","oui","prixContreOffre unite","Contre-offre acceptée : {prixContreOffre} FCFA/{unite}","","","",""
"3","MARCHAND_017","marchand_autre","oui","productName montant texteMarge quand","{productName} : {montant} francs{texteMarge}, le {quand}.","","","",""
"3","MARCHAND_018","marchand_autre","oui","totalVentes totalCount s","Tu as vendu {totalVentes} francs en tout, sur {totalCount} vente{s}.","","","",""
"3","MARCHAND_020","marchand_autre","oui","totalVentes totalCount s","Tu as vendu {totalVentes} francs, sur {totalCount} vente{s}.","","","",""
"3","MARCHAND_021","marchand_autre","oui","","C'est bien payé ? Touche encore pour confirmer.","","","",""
"3","MARCHAND_025","marchand_autre","oui","FR","Bravo ! Tu es à 80% de ton objectif. Plus que {FR} FCFA, allez courage !","","","",""
"3","MARCHAND_027","marchand_autre","oui","montant","Super ! Ton objectif du jour est fixé à {montant} FCFA. Bonne chance ma chère !","","","",""
"3","MARCHAND_ENVOI_TOMBE_ACTION","marchand_autre","oui","","Ça n'est pas parti, le réseau a coupé. Rien n'a changé. Recommence dans un moment.","","","",""
"3","MARCHAND_HORS_LIGNE_ACTION","marchand_autre","oui","","Tu n'as pas de réseau. Je n'ai rien envoyé. Recommence quand le réseau revient.","","","",""
"3","TATA_VENTE_CREDIT_ENREGISTREE","credit","oui","total","Vente à crédit enregistrée. {total} {devise}","","","",""
"3","ACCUEIL_01","marchand_autre","","","Ton comptoir est prêt. On vend ensemble aujourd'hui.","","","",""
"3","ACCUEIL_02","marchand_autre","","","Le montant de ta caisse est affiché ici. Touche l'œil pour le cacher.","","","",""
"3","ACCUEIL_03","marchand_autre","","","Te voilà chez toi. Le grand bouton vert, c'est pour vendre.","","","",""
"3","ACCUEIL_04","marchand_autre","","","Mode soleil : tout est plus grand.","","","",""
"3","ACCUEIL_05","marchand_autre","","","Mode normal.","","","",""
"3","ACCUEIL_06","marchand_autre","","","Tes montants sont cachés. Touche l'œil pour les revoir.","","","",""
"3","ACCUEIL_COMPTOIR","marchand_autre","","","Ton comptoir est prêt. On vend ensemble aujourd'hui.","","","",""
"3","CREDIT_004","credit","","","Dis-moi d'abord le nom du client.","","Donne-moi d'abord le nom de la cliente.","Nom client (CreditModal.tsx)",""
"3","MARCHAND_003","marchand_autre","","","Mode soleil : tout est plus grand.","","","",""
"3","MARCHAND_004","marchand_autre","","","Mode normal.","","","",""
"3","MARCHAND_011","marchand_autre","","message","Erreur : {message}","","","",""
"3","MARCHAND_012","marchand_autre","","","Tu as reçu le pot de la tontine","","","",""
"3","MARCHAND_013","marchand_autre","","","Cotisation enregistrée, le pot a été distribué","","","",""
"3","MARCHAND_014","marchand_autre","","","Cotisation enregistrée","","","",""
"3","MARCHAND_015","marchand_autre","","","Tontine créée. Chaque membre peut maintenant cotiser.","","","",""
"3","MARCHAND_016","marchand_autre","","","Je n'ai pas pu annuler cette vente.","","","",""
"3","MARCHAND_019","marchand_autre","","","Tu n'as pas encore de vente.","","","",""
"3","MARCHAND_022","marchand_autre","","","Veux-tu vraiment annuler cette vente ? Le stock sera rendu.","","","",""
"3","MARCHAND_023","marchand_autre","","","Vente annulée. Le stock a été rendu.","","","",""
"3","MARCHAND_024","marchand_autre","","","Félicitations ! Tu as atteint 50% de ton objectif. Continue ma chère, tu es sur la bonne voie !","","","",""
"3","MARCHAND_026","marchand_autre","","","Incroyable ! Tu as atteint ton objectif du jour ! Tu es trop forte ma chère !","","","",""
"3","MARCHAND_028","marchand_autre","","","Tes montants sont cachés.","","","",""
"3","MARCHAND_029","marchand_autre","","","Contre-offre acceptée.","","","",""
"4","CLIP_UI_036","moteur_vocal","oui","","Entre un montant valide","","","",""
"4","CLIP_UI_063","moteur_vocal","oui","","Le montant doit être un multiple de 100 francs","","Le montant doit finir par cent {devise} net (cent, deux-cents, cinq-cents).","Règle coupure (WithdrawWalletModal.tsx)",""
"4","CLIP_UI_064","moteur_vocal","oui","","Le montant doit être un multiple de 5 francs","","","",""
"4","CLIP_UI_065","moteur_vocal","oui","","Le montant minimum est de 200 FCFA","","","",""
"4","CLIP_UI_066","moteur_vocal","oui","","Le montant saisi est invalide","","","",""
"4","CLIP_UI_080","moteur_vocal","oui","","Montant invalide","","","",""
"4","CLIP_UI_099","moteur_vocal","oui","","Prix invalide","","","",""
